CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,2,-,-,-,"2,825.00",-,780,"2,775.25","2,978.45",130,"21,350.00","4,41,935",0.35,0.40,"55,120",-0.55,0.35,40.94,"50,593","-2,197","30,222",
,-,-,-,-,-,-,780,"2,750.95","3,005.15",780,"21,400.00","2,60,650",0.35,0.40,"7,085",-0.50,0.35,40.26,"35,997","1,234","15,754",
,-,-,-,-,-,-,780,"2,697.25","2,969.90",780,"21,450.00","7,865",0.40,0.45,"6,825",-0.55,0.45,40.45,"2,798",450,869,
,21,-,-,63.34,"2,483.70",-,780,"2,651.00","2,919.70",780,"21,500.00","2,22,170",0.35,0.40,"46,735",-0.70,0.35,38.90,"1,33,479","-12,871","30,095",
,-,-,-,-,-,-,780,"2,591.65","2,949.65",780,"21,550.00","6,370",0.40,0.45,"13,455",-0.55,0.40,38.66,"2,560",631,"1,029",
,-,-,-,-,-,-,780,"2,557.40","2,806.00",780,"21,600.00","19,890",0.40,0.45,"13,585",-0.65,0.40,37.98,"14,345","1,314","3,051",
,-,-,-,-,-,-,780,"2,510.10","2,762.85",780,"21,650.00",260,0.40,0.50,"3,445",-0.65,0.40,37.29,"9,210",-360,754,
,-,-,-,-,-,-,780,"2,516.60","2,701.75",780,"21,700.00","14,755",0.40,0.45,"5,785",-0.65,0.40,36.61,"16,926","-1,268","1,847",
,-,-,-,-,-,-,780,"2,416.75","2,664.85",780,"21,750.00","4,290",0.40,0.50,"4,550",-0.60,0.50,36.66,"2,295",-84,560,
,-,-,-,-,-,-,780,"2,361.60","2,639.65",780,"21,800.00",910,0.45,0.50,"18,720",-0.70,0.45,35.62,"49,147","-3,492","8,633",
,-,-,-,-,-,-,780,"2,239.35","2,638.40",780,"21,850.00","4,095",0.45,0.50,"1,235",-0.65,0.45,34.93,"2,675",197,845,
,-,-,-,-,-,-,780,"2,276.75","2,580.90",780,"21,900.00","4,615",0.45,0.50,"15,080",-0.80,0.45,34.24,"20,090",708,"4,850",
,-,-,-,-,-,-,780,"2,233.50","2,470.35",780,"21,950.00","35,555",0.45,0.50,"9,360",-0.75,0.50,33.88,"20,065","1,010","3,494",
,80,5,34,-,"2,279.70",78.00,65,"2,262.25","2,289.50",65,"22,000.00","2,405",0.45,0.50,"1,950",-0.85,0.45,32.87,"2,47,033","-40,399","66,035",
